Number Of Childs,Number Of Generations,Maximize Fitness,Crossover Strategy,Crossover Probability,Mutation Strategy,Mutation Probability,Selection Strategy,Last Fit,Max Fit,Last Score,Max Score
100,50,True,SinglePoint,0.8,Inversion,0.3,FPS,759000,1425000,6,11
100,50,True,SinglePoint,0.8,NormalDistributionMutation,0.3,FPS,373000,3740000,3,28
100,50,True,SinglePoint,0.8,RandomValue,0.3,FPS,26000,613000,1,7
100,50,True,TwoPoint,0.8,Inversion,0.3,FPS,119000,612000,1,7
100,50,True,TwoPoint,0.8,NormalDistributionMutation,0.3,FPS,463000,1558000,3,12
100,50,True,TwoPoint,0.8,RandomValue,0.3,FPS,2779000,6653000,21,52
100,50,True,Uniform,0.8,Inversion,0.3,FPS,396000,1311000,3,10
100,50,True,Uniform,0.8,NormalDistributionMutation,0.3,FPS,530000,2348000,4,18
100,50,True,Uniform,0.8,RandomValue,0.3,FPS,227000,989000,2,8
100,50,True,WholeArithmetic,0.8,Inversion,0.3,FPS,759000,1390000,6,11
100,50,True,WholeArithmetic,0.8,NormalDistributionMutation,0.3,FPS,1151000,1311000,10,10
100,50,True,WholeArithmetic,0.8,RandomValue,0.3,FPS,3709000,4355000,28,33
100,50,True,SinglePoint,0.8,Inversion,0.3,Rank,224000,968000,2,8
100,50,True,SinglePoint,0.8,NormalDistributionMutation,0.3,Rank,129000,800000,3,6
100,50,True,SinglePoint,0.8,RandomValue,0.3,Rank,268000,1621000,2,13
100,50,True,TwoPoint,0.8,Inversion,0.3,Rank,456000,962000,4,8
100,50,True,TwoPoint,0.8,NormalDistributionMutation,0.3,Rank,377000,3093000,3,23
100,50,True,TwoPoint,0.8,RandomValue,0.3,Rank,1055000,1799000,8,14
100,50,True,Uniform,0.8,Inversion,0.3,Rank,218000,1350000,2,10
100,50,True,Uniform,0.8,NormalDistributionMutation,0.3,Rank,541000,4758000,4,37
100,50,True,Uniform,0.8,RandomValue,0.3,Rank,509000,6978000,4,54
100,50,True,WholeArithmetic,0.8,Inversion,0.3,Rank,123000,2219000,2,17
100,50,True,WholeArithmetic,0.8,NormalDistributionMutation,0.3,Rank,699000,1302000,5,11
100,50,True,WholeArithmetic,0.8,RandomValue,0.3,Rank,252000,1026000,2,8
100,50,True,SinglePoint,0.8,Inversion,0.3,Tournament,6622000,10320000,51,76
100,50,True,SinglePoint,0.8,NormalDistributionMutation,0.3,Tournament,6905000,10130000,52,77
100,50,True,SinglePoint,0.8,RandomValue,0.3,Tournament,6977000,10024000,51,75
100,50,True,TwoPoint,0.8,Inversion,0.3,Tournament,5734000,8372000,44,63
100,50,True,TwoPoint,0.8,NormalDistributionMutation,0.3,Tournament,5941000,8609000,44,65
100,50,True,TwoPoint,0.8,RandomValue,0.3,Tournament,3028000,8438000,23,63
100,50,True,Uniform,0.8,Inversion,0.3,Tournament,7123000,9622000,54,72
100,50,True,Uniform,0.8,NormalDistributionMutation,0.3,Tournament,7617000,10767000,56,83
100,50,True,Uniform,0.8,RandomValue,0.3,Tournament,9014000,10247000,67,78
100,50,True,WholeArithmetic,0.8,Inversion,0.3,Tournament,3877000,6682000,30,50
100,50,True,WholeArithmetic,0.8,NormalDistributionMutation,0.3,Tournament,3892000,5626000,30,44
100,50,True,WholeArithmetic,0.8,RandomValue,0.3,Tournament,4020000,5295000,31,41
